172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "GET /home.jhtml HTTP/1.1" 404 1084
172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "-" 400 2286
172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "GET /?=PHPE9568F36-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 200 11204
172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "POST /scripts/WPnBr.dll HTTP/1.1" 404 1095
172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "GET /Portal/Portal.mwsl HTTP/1.1" 404 1096
172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "GET /pools/default/buckets HTTP/1.1" 404 1103
172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "GET /Portal0000.htm HTTP/1.1" 404 1088
172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "GET /HNAP1 HTTP/1.1" 404 1079
172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "HEAD / HTTP/1.1" 200 -
172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "GET / HTTP/1.0" 200 11184
172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "GET /menu.php HTTP/1.1" 404 1082
172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "GET /?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000 HTTP/1.1" 200 11204
172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "GET /pools HTTP/1.1" 404 1079
172.105.87.91 - - [03/Feb/2022:05:32:06 +0000] "GET /docs/cplugError.html/ HTTP/1.1" 404 1103
172.105.87.91 - - [03/Feb/2022:05:32:07 +0000] "GET /__Additional HTTP/1.1" 404 1086
172.105.87.91 - - [03/Feb/2022:05:32:07 +0000] "GET / HTTP/1.1" 200 11204
172.105.87.91 - - [03/Feb/2022:05:32:07 +0000] "GET /robots.txt HTTP/1.1" 404 1084
172.105.87.91 - - [03/Feb/2022:05:32:07 +0000] "HEAD / HTTP/1.0" 200 -
172.105.87.91 - - [03/Feb/2022:05:32:07 +0000] "CONNECT www.google.com:80 HTTP/1.0" 400 1160
172.105.87.91 - - [03/Feb/2022:05:32:07 +0000] "GET /main.jhtml HTTP/1.1" 404 1084
172.105.87.91 - - [03/Feb/2022:05:32:07 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
172.105.87.91 - - [03/Feb/2022:05:32:08 +0000] "GET / HTTP/1.0" 200 11184
172.105.87.91 - - [03/Feb/2022:05:32:08 +0000] "GET /admin.jsa HTTP/1.1" 404 1083
172.105.87.91 - - [03/Feb/2022:05:32:08 +0000] "HEAD / HTTP/1.0" 200 -
172.105.87.91 - - [03/Feb/2022:05:32:08 +0000] "GET /localstart.cfm HTTP/1.1" 404 1088
172.105.87.91 - - [03/Feb/2022:05:32:08 +0000] "CONNECT www.wikipedia.org:80 HTTP/1.0" 400 1160
172.105.87.91 - - [03/Feb/2022:05:32:08 +0000] "GET /admin.pl HTTP/1.1" 404 1082
172.105.87.91 - - [03/Feb/2022:05:32:09 +0000] "GET / HTTP/1.0" 200 11184
172.105.87.91 - - [03/Feb/2022:05:32:09 +0000] "GET /main.jsa HTTP/1.1" 404 1082
172.105.87.91 - - [03/Feb/2022:05:32:09 +0000] "CONNECT www.computerhistory.org:80 HTTP/1.0" 400 1160
172.105.87.91 - - [03/Feb/2022:05:32:09 +0000] "GET /home.cgi HTTP/1.1" 404 1082
172.105.87.91 - - [03/Feb/2022:05:32:10 +0000] "GET /base.pl HTTP/1.1" 404 1081
172.105.87.91 - - [03/Feb/2022:05:32:10 +0000] "GET /main.jsp HTTP/1.1" 404 1082
172.105.87.91 - - [03/Feb/2022:05:32:10 +0000] "GET /base.aspx HTTP/1.1" 404 1083
172.105.87.91 - - [03/Feb/2022:05:32:11 +0000] "GET /admin.php HTTP/1.1" 404 1083
172.105.87.91 - - [03/Feb/2022:05:32:11 +0000] "GET /indice.html HTTP/1.1" 404 1085
172.105.87.91 - - [03/Feb/2022:05:32:12 +0000] "GET /main.asp HTTP/1.1" 404 1082
172.105.87.91 - - [03/Feb/2022:05:32:12 +0000] "GET /indice.cfm HTTP/1.1" 404 1084
172.105.87.91 - - [03/Feb/2022:05:32:12 +0000] "GET /home.pl HTTP/1.1" 404 1081
172.105.87.91 - - [03/Feb/2022:05:32:13 +0000] "GET /base.php HTTP/1.1" 404 1082
172.105.87.91 - - [03/Feb/2022:05:32:13 +0000] "GET /default.shtml HTTP/1.1" 404 1087
172.105.87.91 - - [03/Feb/2022:05:32:14 +0000] "GET /localstart.pl HTTP/1.1" 404 1087
172.105.87.91 - - [03/Feb/2022:05:32:14 +0000] "GET /admin.shtml HTTP/1.1" 404 1085
172.105.87.91 - - [03/Feb/2022:05:32:14 +0000] "GET /indice.aspx HTTP/1.1" 404 1085
172.105.87.91 - - [03/Feb/2022:05:32:15 +0000] "GET /main.shtml HTTP/1.1" 404 1084
172.105.87.91 - - [03/Feb/2022:05:32:15 +0000] "GET /localstart.php HTTP/1.1" 404 1088
172.105.87.91 - - [03/Feb/2022:05:32:16 +0000] "-" 400 2286
172.105.87.91 - - [03/Feb/2022:05:32:16 +0000] "GET / HTTP/1.0" 200 11184
172.105.87.91 - - [03/Feb/2022:05:32:16 +0000] "GET / HTTP/1.1" 200 11204
209.17.96.242 - - [03/Feb/2022:06:17:33 +0000] "GET / HTTP/1.1" 200 11204
209.17.96.2 - - [03/Feb/2022:06:36:03 +0000] "-" 400 2286
192.241.211.246 - - [03/Feb/2022:06:53:36 +0000] "GET / HTTP/1.1" 200 11204
23.90.160.146 - - [03/Feb/2022:07:17:30 +0000] "GET / HTTP/1.1" 200 11204
45.61.187.144 - - [03/Feb/2022:08:09:02 +0000] "GET /manager/html HTTP/1.1" 403 3446
212.8.116.0 - - [03/Feb/2022:08:23:21 +0000] "GET / HTTP/1.1" 200 11204
128.199.0.41 - - [03/Feb/2022:08:36:37 +0000] "GET /manager/html HTTP/1.1" 403 3446
91.243.167.246 - - [03/Feb/2022:08:46:53 +0000] "GET / HTTP/1.1" 200 11204
